Tasa,Repeticion,Duracion_s,Paquetes,PPS_promedio,BPS_promedio
64,0,5,245,N/A,N/A
64,1,5,217,N/A,N/A
64,2,5,217,N/A,N/A
64,3,5,222,N/A,N/A
64,4,5,216,N/A,N/A
64,5,5,215,N/A,N/A
64,6,5,214,N/A,N/A
64,7,5,220,N/A,N/A
64,8,5,238,N/A,N/A
64,9,5,237,N/A,N/A
128,0,5,220,N/A,N/A
128,1,5,225,N/A,N/A
128,2,5,214,N/A,N/A
128,3,5,221,N/A,N/A
128,4,5,215,N/A,N/A
128,5,5,220,N/A,N/A
128,6,5,228,N/A,N/A
128,7,5,253,N/A,N/A
128,8,5,219,N/A,N/A
128,9,5,215,N/A,N/A
256,0,5,221,N/A,N/A
256,1,5,228,N/A,N/A
256,2,5,220,N/A,N/A
256,3,5,213,N/A,N/A
256,4,5,219,N/A,N/A
256,5,5,249,N/A,N/A
256,6,5,222,N/A,N/A
256,7,5,214,N/A,N/A
256,8,5,223,N/A,N/A
256,9,5,224,N/A,N/A
512,0,5,226,N/A,N/A
512,1,5,222,N/A,N/A
512,2,5,220,N/A,N/A
512,3,5,248,N/A,N/A
512,4,5,234,N/A,N/A
512,5,5,226,N/A,N/A
512,6,5,217,N/A,N/A
512,7,5,223,N/A,N/A
512,8,5,213,N/A,N/A
512,9,5,224,N/A,N/A
1024,0,5,217,N/A,N/A
1024,1,5,238,N/A,N/A
1024,2,5,238,N/A,N/A
1024,3,5,218,N/A,N/A
1024,4,5,212,N/A,N/A
1024,5,5,226,N/A,N/A
1024,6,5,219,N/A,N/A
1024,7,5,214,N/A,N/A
1024,8,5,218,N/A,N/A
1024,9,5,233,N/A,N/A
2048,0,5,247,N/A,N/A
2048,1,5,218,N/A,N/A
2048,2,5,218,N/A,N/A
2048,3,5,224,N/A,N/A
2048,4,5,224,N/A,N/A
2048,5,5,219,N/A,N/A
2048,6,5,218,N/A,N/A
2048,7,5,225,N/A,N/A
2048,8,5,234,N/A,N/A
2048,9,5,237,N/A,N/A
