timestamp,xdp,label,pps_target,pps_measured,packets_total,lost_packets,lost_percent,paquetes_filtrados,paquetes_perdidos_reales,lost_real_percent,cpu_usage_percent,mem_usage_percent
2026-01-17T13:00:01,off,trafico_eth,64,32.50,325,315,49.2188,0,315,49.2188,100.00,7.05
2026-01-17T13:00:16,off,trafico_eth,128,84.10,841,439,34.2969,0,439,34.2969,100.00,6.99
2026-01-17T13:00:31,off,trafico_eth,256,198.50,1985,575,22.4609,0,575,22.4609,1.20,6.99
2026-01-17T13:00:47,off,trafico_eth,512,456.90,4569,551,10.7617,0,551,10.7617,100.00,7.08
2026-01-17T13:01:06,off,trafico_eth,1024,928.90,9289,951,9.2871,0,951,9.2871,1.20,7.01
2026-01-17T13:01:29,off,trafico_eth,2048,1956.70,19567,913,4.4580,0,913,4.4580,100.00,7.02
2026-01-17T13:02:00,off,trafico_eth,4096,3958.40,39584,1376,3.3594,0,1376,3.3594,100.00,7.10
2026-01-17T13:02:49,off,trafico_eth,8192,7775.60,77756,4164,5.0830,0,4164,5.0830,1.20,7.30
2026-01-17T13:04:17,off,trafico_eth,16384,16266.20,162662,1178,0.7190,0,1178,0.7190,100.00,7.22
2026-01-17T13:04:40,on,trafico_eth,64,16.50,165,475,74.2188,252,223,34.8438,1.20,7.05
2026-01-17T13:04:56,on,trafico_eth,128,48.10,481,799,62.4219,498,301,23.5156,100.00,7.02
2026-01-17T13:05:12,on,trafico_eth,256,129.40,1294,1266,49.4531,861,405,15.8203,100.00,7.05
2026-01-17T13:05:29,on,trafico_eth,512,319.10,3191,1929,37.6758,1558,371,7.2461,1.20,7.02
2026-01-17T13:05:49,on,trafico_eth,1024,528.10,5281,4959,48.4277,4409,550,5.3711,1.20,6.96
2026-01-17T13:06:13,on,trafico_eth,2048,827.50,8275,12205,59.5947,11695,510,2.4902,1.20,7.04
2026-01-17T13:06:46,on,trafico_eth,4096,1564.40,15644,25316,61.8066,24571,745,1.8188,100.00,7.08
2026-01-17T13:07:36,on,trafico_eth,8192,2954.20,29542,52378,63.9380,48856,3522,4.2993,100.00,7.27
2026-01-17T13:09:05,on,trafico_eth,16384,6375.50,63755,100085,61.0870,99651,434,0.2649,100.00,7.26
